Node,Rank Effect,CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
A,-11,0,0,0,0
A,-10,0,0,0,0
A,-9,0,0,0,0
A,-8,0,0,0,0
A,-7,0,0,0,0
A,-6,0,0,0,0
A,-5,0,0,448,12
A,-4,0,0,0,102
A,-3,0,0,408,634
A,-2,0,0,0,505
A,-1,0,0,10088,7978
A,0,0,0,0,2471
A,1,5,5,5435,4546
A,2,0,0,0,142
A,3,0,0,360,342
A,4,0,0,0,64
A,5,0,0,92,142
A,6,0,0,0,126
A,7,2,2,214,179
A,8,0,0,0,30
A,9,0,0,228,0
A,10,0,0,0,0
A,11,0,0,0,0
A,12,0,0,0,0
A,13,0,0,0,0
B,-11,0,0,0,0
B,-10,0,0,0,0
B,-9,0,0,0,0
B,-8,0,0,0,0
B,-7,0,0,0,0
B,-6,0,0,0,0
B,-5,0,0,750,17
B,-4,0,0,0,213
B,-3,0,0,1168,891
B,-2,0,0,0,828
B,-1,0,0,10658,8717
B,0,0,0,0,2600
B,1,7,7,6491,5892
B,2,0,0,0,451
B,3,0,0,836,522
B,4,0,0,0,193
B,5,0,0,462,284
B,6,0,1,0,154
B,7,3,2,381,308
B,8,0,0,0,40
B,9,0,0,364,0
B,10,0,0,0,0
B,11,0,0,0,0
B,12,0,0,0,0
B,13,0,0,0,0
C,-11,0,0,0,0
C,-10,0,0,0,0
C,-9,0,0,0,0
C,-8,0,0,0,0
C,-7,0,0,0,0
C,-6,0,0,0,0
C,-5,0,0,492,44
C,-4,0,0,0,200
C,-3,0,0,1744,866
C,-2,0,0,0,982
C,-1,0,0,10220,8669
C,0,0,0,0,2470
C,1,7,7,6413,5833
C,2,0,0,0,545
C,3,0,0,1112,489
C,4,0,0,0,191
C,5,0,0,384,312
C,6,0,1,0,135
C,7,3,2,381,328
C,8,0,0,0,46
C,9,0,0,364,0
C,10,0,0,0,0
C,11,0,0,0,0
C,12,0,0,0,0
C,13,0,0,0,0
D,-11,0,0,0,0
D,-10,0,0,0,0
D,-9,0,0,64,0
D,-8,0,0,0,21
D,-7,0,0,508,104
D,-6,0,0,0,56
D,-5,0,0,1200,337
D,-4,0,0,0,545
D,-3,0,0,776,639
D,-2,0,0,0,1345
D,-1,0,0,9860,8543
D,0,0,0,0,1636
D,1,5,5,7515,6742
D,2,0,0,0,1141
D,3,0,0,1172,614
D,4,0,0,0,644
D,5,0,0,1156,702
D,6,0,4,0,370
D,7,4,0,1080,425
D,8,0,0,0,62
D,9,0,0,564,98
D,10,0,0,0,47
D,11,0,0,144,96
D,12,0,1,0,15
D,13,1,0,143,0
E,-11,0,0,144,0
E,-10,0,0,0,16
E,-9,0,0,144,53
E,-8,0,0,0,85
E,-7,0,0,392,53
E,-6,0,0,0,85
E,-5,0,0,384,263
E,-4,0,0,0,238
E,-3,0,0,592,262
E,-2,0,0,0,842
E,-1,0,0,10308,8786
E,0,0,0,0,2449
E,1,5,5,7735,6813
E,2,0,0,0,749
E,3,0,0,1016,306
E,4,0,0,0,353
E,5,0,0,576,592
E,6,0,4,0,242
E,7,4,0,804,374
E,8,0,0,0,156
E,9,0,0,504,136
E,10,0,0,0,74
E,11,0,0,288,84
E,12,0,1,0,19
E,13,1,0,143,0
